Image,Label,Value
288.jpg,infix,0
289.jpg,prefix,-1
290.jpg,postfix,0
291.jpg,prefix,10
292.jpg,infix,-2
293.jpg,prefix,-2
294.jpg,prefix,0
295.jpg,postfix,30
296.jpg,infix,8
297.jpg,infix,7
298.jpg,infix,4
299.jpg,prefix,3
300.jpg,prefix,1
301.jpg,infix,0
302.jpg,infix,6
303.jpg,postfix,14
304.jpg,infix,1
305.jpg,infix,4
306.jpg,postfix,2
307.jpg,postfix,18
308.jpg,postfix,3
309.jpg,postfix,6
310.jpg,prefix,-2
311.jpg,postfix,5
312.jpg,infix,0
313.jpg,prefix,12
314.jpg,postfix,8
315.jpg,postfix,1
316.jpg,infix,13
317.jpg,postfix,7
318.jpg,postfix,-6
319.jpg,postfix,1
320.jpg,prefix,0
321.jpg,postfix,18
322.jpg,prefix,48
323.jpg,infix,12
324.jpg,infix,12
325.jpg,prefix,7
326.jpg,prefix,9
327.jpg,prefix,48
328.jpg,prefix,-4
329.jpg,postfix,3
330.jpg,infix,1
331.jpg,prefix,6
332.jpg,infix,14
333.jpg,infix,2
334.jpg,postfix,6
335.jpg,infix,9
336.jpg,prefix,12
337.jpg,prefix,5
338.jpg,infix,0
339.jpg,infix,9
340.jpg,prefix,5
341.jpg,postfix,0
342.jpg,postfix,0
343.jpg,infix,13
344.jpg,prefix,9
345.jpg,prefix,-1
346.jpg,postfix,24
347.jpg,infix,2
348.jpg,postfix,8
349.jpg,prefix,0
350.jpg,prefix,2
351.jpg,prefix,-4
352.jpg,postfix,36
353.jpg,infix,12
354.jpg,prefix,24
355.jpg,infix,0
356.jpg,infix,7
357.jpg,prefix,14
358.jpg,infix,6
359.jpg,prefix,4
360.jpg,prefix,42
361.jpg,prefix,-1
362.jpg,postfix,-1
363.jpg,prefix,1
364.jpg,postfix,6
365.jpg,infix,12
366.jpg,prefix,-5
367.jpg,infix,12
368.jpg,prefix,0
369.jpg,infix,5
370.jpg,prefix,-9
371.jpg,prefix,1
372.jpg,infix,10
373.jpg,prefix,12
374.jpg,prefix,0
375.jpg,prefix,8
376.jpg,infix,7
377.jpg,infix,2
378.jpg,prefix,1
379.jpg,infix,13
380.jpg,prefix,9
381.jpg,postfix,3
382.jpg,postfix,-4
383.jpg,postfix,7
384.jpg,prefix,6
385.jpg,postfix,45
386.jpg,infix,35
387.jpg,postfix,1
388.jpg,infix,9
389.jpg,infix,2
390.jpg,prefix,12
391.jpg,prefix,18
392.jpg,postfix,12
393.jpg,infix,7
394.jpg,infix,0
395.jpg,postfix,4
396.jpg,postfix,4
397.jpg,infix,-3
398.jpg,postfix,8
399.jpg,prefix,0
400.jpg,postfix,0
401.jpg,prefix,0
402.jpg,postfix,-1
403.jpg,infix,40
404.jpg,postfix,0
405.jpg,postfix,21
406.jpg,postfix,64
407.jpg,infix,11
408.jpg,prefix,-6
409.jpg,prefix,35
410.jpg,infix,0
411.jpg,postfix,8
412.jpg,infix,0
413.jpg,postfix,8
414.jpg,infix,15
415.jpg,postfix,0
416.jpg,prefix,9
417.jpg,prefix,11
418.jpg,infix,10
419.jpg,prefix,5
420.jpg,infix,81
421.jpg,postfix,-1
422.jpg,prefix,36
423.jpg,postfix,-3
424.jpg,postfix,7
425.jpg,infix,16
426.jpg,prefix,8
427.jpg,postfix,16
428.jpg,infix,8
429.jpg,infix,28
430.jpg,postfix,12
431.jpg,prefix,6
432.jpg,infix,3
433.jpg,prefix,7
434.jpg,postfix,12
435.jpg,prefix,-5
436.jpg,prefix,5
437.jpg,infix,1
438.jpg,infix,36
439.jpg,postfix,-8
440.jpg,postfix,-1
441.jpg,postfix,-5
442.jpg,infix,20
443.jpg,infix,5
444.jpg,prefix,8
445.jpg,infix,8
446.jpg,postfix,2
447.jpg,prefix,11
448.jpg,prefix,35
449.jpg,infix,1
450.jpg,postfix,0
451.jpg,postfix,27
452.jpg,postfix,8
453.jpg,prefix,4
454.jpg,infix,2
455.jpg,infix,5
456.jpg,postfix,0
457.jpg,prefix,72
458.jpg,infix,3
459.jpg,infix,7
460.jpg,postfix,3
461.jpg,prefix,5
462.jpg,postfix,1
463.jpg,prefix,5
464.jpg,postfix,2
465.jpg,prefix,8
466.jpg,prefix,1
467.jpg,prefix,36
468.jpg,prefix,12
469.jpg,infix,54
470.jpg,prefix,7
471.jpg,prefix,-6
472.jpg,prefix,4
473.jpg,postfix,1
474.jpg,prefix,-5
475.jpg,postfix,6
476.jpg,prefix,54
477.jpg,infix,11
478.jpg,prefix,12
479.jpg,prefix,0
480.jpg,infix,-7
481.jpg,prefix,-2
482.jpg,prefix,5
483.jpg,postfix,2
484.jpg,infix,9
485.jpg,postfix,6
486.jpg,infix,20
487.jpg,postfix,12
488.jpg,infix,-5
489.jpg,postfix,4
490.jpg,prefix,-7
491.jpg,prefix,0
492.jpg,infix,4
493.jpg,prefix,18
494.jpg,postfix,1
495.jpg,prefix,17
496.jpg,postfix,14
497.jpg,infix,64
498.jpg,infix,7
499.jpg,postfix,-2
500.jpg,infix,8
501.jpg,infix,3
502.jpg,infix,14
503.jpg,prefix,18
504.jpg,postfix,3
505.jpg,infix,-9
506.jpg,prefix,-6
507.jpg,prefix,35
508.jpg,postfix,6
509.jpg,prefix,0
510.jpg,infix,2
511.jpg,postfix,0
512.jpg,postfix,-2
513.jpg,postfix,5
514.jpg,postfix,-5
515.jpg,infix,0
516.jpg,infix,8
517.jpg,prefix,13
518.jpg,postfix,3
519.jpg,infix,1
520.jpg,infix,1
521.jpg,infix,32
522.jpg,infix,1
523.jpg,infix,2
524.jpg,infix,2
525.jpg,infix,0
526.jpg,infix,-6
527.jpg,prefix,-8
528.jpg,infix,0
529.jpg,infix,2
530.jpg,infix,13
531.jpg,postfix,45
532.jpg,prefix,32
533.jpg,infix,5
534.jpg,postfix,24
535.jpg,infix,12
536.jpg,postfix,30
537.jpg,postfix,1
538.jpg,infix,8
539.jpg,prefix,10
540.jpg,prefix,12
541.jpg,prefix,2
542.jpg,infix,1
543.jpg,prefix,0
544.jpg,infix,54
545.jpg,infix,28
546.jpg,prefix,7
547.jpg,infix,7
548.jpg,infix,1
549.jpg,infix,1
550.jpg,infix,-2
551.jpg,prefix,-2
552.jpg,infix,1
553.jpg,infix,-2
554.jpg,postfix,8
555.jpg,prefix,14
556.jpg,prefix,0
557.jpg,prefix,10
558.jpg,prefix,35
559.jpg,prefix,12
560.jpg,postfix,0
561.jpg,prefix,56
562.jpg,prefix,-9
563.jpg,postfix,15
564.jpg,infix,0
565.jpg,postfix,15
566.jpg,postfix,1
567.jpg,postfix,12
568.jpg,prefix,12
569.jpg,infix,63
570.jpg,infix,4
571.jpg,prefix,4
572.jpg,prefix,27
573.jpg,prefix,1
574.jpg,postfix,1
575.jpg,infix,8
576.jpg,infix,56
577.jpg,infix,-2
578.jpg,prefix,2
579.jpg,prefix,-6
580.jpg,prefix,2
581.jpg,prefix,-1
582.jpg,infix,14
583.jpg,prefix,32
584.jpg,prefix,0
585.jpg,prefix,5
586.jpg,infix,13
587.jpg,postfix,9
588.jpg,infix,6
589.jpg,postfix,2
590.jpg,prefix,14
591.jpg,postfix,14
592.jpg,prefix,8
593.jpg,postfix,-1
594.jpg,prefix,0
595.jpg,prefix,10
596.jpg,postfix,4
597.jpg,infix,21
598.jpg,prefix,11
599.jpg,postfix,-6
600.jpg,prefix,21
601.jpg,infix,-3
602.jpg,prefix,18
603.jpg,prefix,-7
604.jpg,postfix,-2
605.jpg,prefix,0
606.jpg,prefix,-1
607.jpg,postfix,-2
608.jpg,infix,72
609.jpg,infix,17
610.jpg,infix,12
611.jpg,infix,0
612.jpg,postfix,9
613.jpg,postfix,5
614.jpg,prefix,3
615.jpg,postfix,9
616.jpg,postfix,36
617.jpg,infix,18
618.jpg,prefix,-2
619.jpg,postfix,13
620.jpg,infix,6
621.jpg,prefix,4
622.jpg,postfix,5
623.jpg,postfix,6
624.jpg,infix,14
625.jpg,infix,3
626.jpg,postfix,7
627.jpg,infix,14
628.jpg,infix,1
629.jpg,infix,1
630.jpg,prefix,24
631.jpg,prefix,8
632.jpg,prefix,-7
633.jpg,postfix,4
634.jpg,prefix,-3
635.jpg,infix,0
636.jpg,infix,0
637.jpg,infix,11
638.jpg,postfix,27
639.jpg,infix,0
640.jpg,infix,4
641.jpg,infix,-1
642.jpg,infix,3
643.jpg,postfix,72
644.jpg,infix,6
645.jpg,prefix,7
646.jpg,postfix,72
647.jpg,prefix,1
648.jpg,infix,5
649.jpg,postfix,13
650.jpg,infix,18
651.jpg,infix,1
652.jpg,postfix,-4
653.jpg,postfix,12
654.jpg,prefix,12
655.jpg,postfix,10
656.jpg,prefix,7
657.jpg,infix,15
658.jpg,infix,25
659.jpg,infix,9
660.jpg,postfix,11
661.jpg,postfix,-1
662.jpg,postfix,0
663.jpg,infix,17
664.jpg,prefix,5
665.jpg,postfix,8
666.jpg,infix,21
667.jpg,postfix,5
668.jpg,postfix,10
669.jpg,prefix,0
670.jpg,infix,10
671.jpg,postfix,1
672.jpg,infix,8
673.jpg,prefix,32
674.jpg,prefix,4
675.jpg,prefix,1
676.jpg,prefix,-3
677.jpg,postfix,-6
678.jpg,infix,1
679.jpg,prefix,-3
680.jpg,postfix,2
681.jpg,prefix,6
682.jpg,postfix,15
683.jpg,postfix,54
684.jpg,postfix,9
685.jpg,prefix,10
686.jpg,postfix,7
687.jpg,prefix,5
688.jpg,infix,2
689.jpg,prefix,8
690.jpg,postfix,11
691.jpg,infix,5
692.jpg,prefix,12
693.jpg,prefix,42
694.jpg,infix,1
695.jpg,prefix,13
696.jpg,prefix,3
697.jpg,infix,9
698.jpg,postfix,36
699.jpg,prefix,5
700.jpg,postfix,4
701.jpg,infix,20
702.jpg,postfix,6
703.jpg,postfix,4
704.jpg,infix,0
705.jpg,postfix,-4
706.jpg,infix,8
707.jpg,postfix,3
708.jpg,infix,8
709.jpg,postfix,-4
710.jpg,postfix,15
711.jpg,infix,15
712.jpg,prefix,15
713.jpg,prefix,0
714.jpg,infix,2
715.jpg,prefix,0
716.jpg,infix,2
717.jpg,infix,0
718.jpg,infix,0
719.jpg,postfix,2
720.jpg,prefix,0
721.jpg,prefix,10
722.jpg,prefix,1
723.jpg,prefix,8
724.jpg,postfix,81
725.jpg,prefix,5
726.jpg,infix,21
727.jpg,infix,24
728.jpg,infix,7
729.jpg,postfix,20
730.jpg,prefix,14
731.jpg,prefix,12
732.jpg,infix,6
733.jpg,postfix,3
734.jpg,infix,-5
735.jpg,postfix,6
736.jpg,postfix,48
737.jpg,infix,6
738.jpg,infix,-4
739.jpg,postfix,32
740.jpg,infix,-2
741.jpg,prefix,7
742.jpg,prefix,40
743.jpg,infix,5
744.jpg,prefix,-6
745.jpg,prefix,1
746.jpg,postfix,4
747.jpg,infix,2
748.jpg,prefix,6
749.jpg,postfix,13
750.jpg,infix,0
751.jpg,postfix,21
752.jpg,postfix,3
753.jpg,prefix,14
754.jpg,postfix,-3
755.jpg,infix,14
756.jpg,infix,11
757.jpg,infix,30
758.jpg,postfix,8
759.jpg,postfix,0
760.jpg,postfix,6
761.jpg,prefix,0
762.jpg,prefix,8
763.jpg,infix,-4
764.jpg,infix,0
765.jpg,prefix,-2
766.jpg,prefix,-1
767.jpg,postfix,10
768.jpg,infix,12
769.jpg,infix,10
770.jpg,postfix,6
771.jpg,prefix,11
772.jpg,postfix,0
773.jpg,postfix,5
774.jpg,prefix,6
775.jpg,postfix,-5
776.jpg,postfix,2
777.jpg,postfix,14
778.jpg,infix,3
779.jpg,postfix,9
780.jpg,prefix,3
781.jpg,infix,16
782.jpg,infix,9
783.jpg,infix,6
784.jpg,prefix,0
785.jpg,prefix,1
786.jpg,postfix,36
787.jpg,prefix,9
788.jpg,prefix,0
789.jpg,prefix,0
790.jpg,infix,1
791.jpg,prefix,3
792.jpg,infix,8
793.jpg,infix,2
794.jpg,infix,2
795.jpg,infix,-3
796.jpg,infix,17
797.jpg,postfix,11
798.jpg,infix,0
799.jpg,postfix,3
800.jpg,postfix,0
801.jpg,prefix,48
802.jpg,prefix,81
803.jpg,prefix,-5
804.jpg,infix,-2
805.jpg,prefix,3
806.jpg,postfix,5
807.jpg,prefix,4
808.jpg,prefix,4
809.jpg,postfix,4
810.jpg,prefix,7
811.jpg,prefix,0
812.jpg,infix,16
813.jpg,infix,16
814.jpg,prefix,7
815.jpg,prefix,1
816.jpg,infix,-7
817.jpg,infix,7
818.jpg,infix,3
819.jpg,prefix,7
820.jpg,infix,0
821.jpg,infix,-4
822.jpg,prefix,12
823.jpg,prefix,-3
824.jpg,prefix,6
825.jpg,infix,0
826.jpg,infix,0
827.jpg,infix,0
828.jpg,infix,-7
829.jpg,prefix,5
830.jpg,postfix,4
831.jpg,prefix,6
832.jpg,postfix,36
833.jpg,infix,18
834.jpg,prefix,3
835.jpg,infix,14
836.jpg,postfix,1
837.jpg,prefix,54
838.jpg,prefix,2
839.jpg,infix,16
840.jpg,prefix,0
841.jpg,prefix,7
842.jpg,infix,7
843.jpg,infix,7
844.jpg,infix,-7
845.jpg,infix,-7
846.jpg,prefix,8
847.jpg,infix,0
848.jpg,prefix,6
849.jpg,postfix,18
850.jpg,infix,24
851.jpg,prefix,12
852.jpg,infix,11
853.jpg,postfix,5
854.jpg,infix,1
855.jpg,prefix,16
856.jpg,prefix,4
857.jpg,prefix,0
858.jpg,prefix,-1
859.jpg,infix,11
860.jpg,postfix,4
861.jpg,postfix,0
862.jpg,postfix,20
863.jpg,postfix,6
864.jpg,infix,72
865.jpg,infix,3
866.jpg,infix,0
867.jpg,postfix,0
868.jpg,prefix,-5
869.jpg,prefix,49
870.jpg,infix,0
871.jpg,postfix,11
872.jpg,postfix,2
873.jpg,prefix,16
874.jpg,prefix,2
875.jpg,infix,3
876.jpg,postfix,0
877.jpg,infix,13
878.jpg,postfix,-3
879.jpg,prefix,12
880.jpg,infix,72
881.jpg,infix,21
882.jpg,prefix,6
883.jpg,postfix,6
884.jpg,prefix,1
885.jpg,postfix,-7
886.jpg,prefix,15
887.jpg,prefix,18
888.jpg,infix,-2
889.jpg,prefix,6
890.jpg,postfix,-1
891.jpg,infix,36
892.jpg,infix,-1
893.jpg,prefix,15
894.jpg,infix,-1
895.jpg,prefix,0
896.jpg,postfix,9
897.jpg,postfix,-8
898.jpg,prefix,1
899.jpg,infix,7
900.jpg,infix,11
901.jpg,infix,4
902.jpg,postfix,0
903.jpg,prefix,2
904.jpg,infix,7
905.jpg,postfix,0
906.jpg,infix,10
907.jpg,infix,2
908.jpg,prefix,-5
909.jpg,prefix,4
910.jpg,postfix,45
911.jpg,infix,11
912.jpg,infix,18
913.jpg,postfix,-5
914.jpg,postfix,0
915.jpg,prefix,1
916.jpg,postfix,0
917.jpg,prefix,3
918.jpg,prefix,4
919.jpg,infix,12
920.jpg,infix,7
921.jpg,infix,3
922.jpg,postfix,-2
923.jpg,prefix,24
924.jpg,prefix,81
925.jpg,infix,15
926.jpg,postfix,13
927.jpg,postfix,6
928.jpg,prefix,12
929.jpg,postfix,6
930.jpg,prefix,6
931.jpg,infix,-8
932.jpg,prefix,12
933.jpg,infix,6
934.jpg,prefix,5
935.jpg,prefix,-2
936.jpg,infix,13
937.jpg,postfix,16
938.jpg,infix,30
939.jpg,prefix,9
940.jpg,prefix,2
941.jpg,prefix,5
942.jpg,prefix,16
943.jpg,prefix,15
944.jpg,prefix,4
945.jpg,postfix,8
946.jpg,infix,4
947.jpg,postfix,2
948.jpg,infix,35
949.jpg,infix,9
950.jpg,infix,18
951.jpg,postfix,4
952.jpg,infix,-2
953.jpg,postfix,9
954.jpg,postfix,1
955.jpg,infix,9
956.jpg,prefix,4
957.jpg,prefix,6
958.jpg,postfix,9
959.jpg,postfix,8
960.jpg,prefix,3
961.jpg,postfix,5
962.jpg,infix,0
963.jpg,postfix,4
964.jpg,infix,4
965.jpg,infix,54
966.jpg,postfix,8
967.jpg,postfix,0
968.jpg,prefix,63
969.jpg,infix,1
970.jpg,infix,-3
971.jpg,prefix,15
972.jpg,infix,3
973.jpg,infix,2
974.jpg,infix,49
975.jpg,postfix,4
976.jpg,prefix,81
977.jpg,infix,8
978.jpg,postfix,8
979.jpg,infix,7
980.jpg,postfix,36
981.jpg,infix,3
982.jpg,postfix,11
983.jpg,postfix,-7
984.jpg,postfix,72
985.jpg,postfix,2
986.jpg,infix,3
987.jpg,prefix,9
988.jpg,infix,2
989.jpg,infix,0
990.jpg,prefix,3
991.jpg,postfix,3
992.jpg,infix,27
993.jpg,infix,9
994.jpg,prefix,7
995.jpg,infix,0
996.jpg,infix,42
997.jpg,prefix,0
998.jpg,infix,12
999.jpg,infix,63
1000.jpg,infix,-2
1001.jpg,prefix,0
1002.jpg,infix,-3
1003.jpg,infix,16
1004.jpg,prefix,-3
1005.jpg,prefix,56
1006.jpg,postfix,7
1007.jpg,postfix,1
1008.jpg,postfix,16
1009.jpg,postfix,7
1010.jpg,postfix,45
1011.jpg,infix,12
1012.jpg,infix,11
1013.jpg,prefix,0
1014.jpg,infix,9
1015.jpg,infix,0
1016.jpg,prefix,12
1017.jpg,infix,16
1018.jpg,postfix,7
1019.jpg,infix,8
1020.jpg,postfix,14
1021.jpg,prefix,4
1022.jpg,infix,1
1023.jpg,prefix,0
1024.jpg,postfix,7
1025.jpg,postfix,0
1026.jpg,prefix,0
1027.jpg,infix,2
1028.jpg,postfix,18
1029.jpg,infix,10
1030.jpg,infix,5
1031.jpg,postfix,-4
1032.jpg,postfix,6
1033.jpg,postfix,0
1034.jpg,prefix,1
1035.jpg,postfix,42
1036.jpg,infix,36
1037.jpg,prefix,0
1038.jpg,prefix,12
1039.jpg,infix,36
1040.jpg,prefix,72
1041.jpg,prefix,11
1042.jpg,infix,-9
1043.jpg,infix,16
1044.jpg,prefix,-2
1045.jpg,postfix,14
1046.jpg,prefix,35
1047.jpg,postfix,8
1048.jpg,prefix,8
1049.jpg,prefix,2
1050.jpg,infix,5
1051.jpg,prefix,24
1052.jpg,prefix,18
1053.jpg,postfix,5
1054.jpg,infix,8
1055.jpg,prefix,-2
1056.jpg,infix,42
1057.jpg,postfix,4
1058.jpg,prefix,1
1059.jpg,postfix,7
1060.jpg,prefix,30
1061.jpg,postfix,-7
1062.jpg,infix,9
1063.jpg,infix,21
1064.jpg,infix,16
1065.jpg,infix,8
1066.jpg,prefix,8
1067.jpg,infix,2
1068.jpg,infix,16
1069.jpg,postfix,3
1070.jpg,postfix,10
1071.jpg,prefix,9
1072.jpg,infix,15
1073.jpg,infix,3
1074.jpg,infix,12
1075.jpg,prefix,0
1076.jpg,postfix,14
1077.jpg,prefix,8
1078.jpg,postfix,64
1079.jpg,prefix,6
1080.jpg,postfix,4
1081.jpg,prefix,5
1082.jpg,postfix,12
1083.jpg,postfix,8
1084.jpg,postfix,10
1085.jpg,infix,-1
1086.jpg,postfix,-6
1087.jpg,prefix,16
1088.jpg,postfix,2
1089.jpg,prefix,14
1090.jpg,postfix,10
1091.jpg,infix,-2
1092.jpg,infix,2
1093.jpg,prefix,-1
1094.jpg,postfix,9
1095.jpg,infix,4
1096.jpg,infix,8
1097.jpg,prefix,3
1098.jpg,prefix,16
1099.jpg,infix,8
1100.jpg,infix,-1
1101.jpg,prefix,8
1102.jpg,postfix,30
1103.jpg,postfix,2
1104.jpg,infix,0
1105.jpg,infix,-3
1106.jpg,postfix,3
1107.jpg,prefix,1
1108.jpg,prefix,15
1109.jpg,prefix,2
1110.jpg,infix,3
1111.jpg,prefix,10
1112.jpg,prefix,-2
1113.jpg,postfix,3
1114.jpg,infix,-3
1115.jpg,prefix,0
1116.jpg,infix,1
1117.jpg,infix,0
1118.jpg,infix,14
1119.jpg,postfix,9
1120.jpg,postfix,2
1121.jpg,postfix,14
1122.jpg,infix,7
1123.jpg,prefix,4
1124.jpg,prefix,18
1125.jpg,prefix,36
1126.jpg,infix,3
1127.jpg,postfix,2
1128.jpg,prefix,13
1129.jpg,prefix,2
1130.jpg,postfix,12
1131.jpg,postfix,0
1132.jpg,postfix,9
1133.jpg,postfix,15
1134.jpg,infix,6
1135.jpg,postfix,-9
1136.jpg,prefix,64
1137.jpg,postfix,3
1138.jpg,infix,7
1139.jpg,postfix,8
1140.jpg,infix,18
1141.jpg,prefix,1
1142.jpg,prefix,6
1143.jpg,infix,2
1144.jpg,postfix,10
1145.jpg,prefix,3
1146.jpg,prefix,6
1147.jpg,infix,0
1148.jpg,postfix,2
1149.jpg,infix,3
1150.jpg,prefix,0
1151.jpg,postfix,-1
1152.jpg,prefix,4
1153.jpg,infix,10
1154.jpg,infix,-3
1155.jpg,infix,28
1156.jpg,postfix,1
1157.jpg,postfix,7
1158.jpg,postfix,-7
1159.jpg,postfix,-9
1160.jpg,prefix,7
1161.jpg,postfix,16
1162.jpg,postfix,0
1163.jpg,infix,18
1164.jpg,infix,-3
1165.jpg,infix,10
1166.jpg,postfix,3
1167.jpg,postfix,0
1168.jpg,postfix,9
1169.jpg,prefix,3
1170.jpg,infix,4
1171.jpg,postfix,4
1172.jpg,infix,8
1173.jpg,infix,7
